AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
129	girl	disagree strongly	disagree	disagree strongly	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	disagree strongly	8	agree	niet echt waar	disagree	agree	disagree strongly	disagree	disagree	disagree	agree	agree	disagree strongly	disagree	agree strongly	agree	agree strongly	agree	disagree	disagree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree	disagree	disagree	disagree	agree	agree	agree strongly	disagree strongly	agree	agree	disagree	disagree	71	64	70	0	5	5	Selected	Catholic	1	0	high
135	girl	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	7	disagree strongly	helemaal niet waar	disagree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	83	65	73	1	16	5	Selected	Catholic	1	0	high
122	boy	disagree	disagree	agree	agree strongly	agree strongly	agree strongly	disagree	agree	disagree	disagree strongly	7	agree strongly	een beetje waar	disagree	disagree	disagree strongly	agree	agree	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree	agree	disagree	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree	disagree	agree	agree strongly	disagree	disagree	disagree	disagree	agree	agree strongly	agree	disagree	disagree	disagree strongly	agree strongly	62	66	67	1	18	5	Not Selected	State	0	1	high
124	girl	disagree	agree strongly	disagree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	niet echt waar	agree	agree	disagree strongly	disagree	disagree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree	disagree	disagree	disagree	disagree strongly	disagree	disagree	agree	disagree	agree	disagree	disagree	disagree	agree	agree	agree strongly	agree	disagree	disagree	agree	disagree	80	66	73.3	1	9	6	Selected	State	0	1	high
125	boy	disagree	agree strongly	agree	disagree	agree	agree strongly	agree	disagree	agree	disagree strongly	4	agree strongly	helemaal waar	agree strongly	disagree	disagree strongly	agree	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree	agree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree	agree strongly	disagree	disagree	disagree	agree	agree strongly	disagree	disagree strongly	disagree	agree	disagree	74	66.5	74	0	10	6	Not Selected	State	0	1	high
127	girl	disagree strongly	agree	agree	agree strongly	disagree	agree strongly	agree strongly	agree	disagree strongly	disagree strongly	9	agree	helemaal niet waar	disagree	agree	disagree strongly	agree strongly	agree	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree	disagree	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	68.2	66.5	66.5	1	8	4	Selected	State	0	1	high
119	boy	disagree strongly	disagree	agree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	disagree	agree	agree	disagree	agree	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree	agree	agree	disagree	agree	agree	agree strongly	disagree strongly	disagree strongly	agree	disagree	disagree strongly	71	68	74	1	14	4	Not Selected	State	0	1	high
120	boy	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	disagree strongly	5	agree strongly	helemaal niet waar	disagree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	agree	agree strongly	disagree strongly	69.4	68.4	72.4	1	10	6	Not Selected	State	0	1	high
123	boy	agree	agree strongly	agree	disagree	agree strongly	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree	helemaal niet waar	agree strongly	agree	disagree strongly	agree	agree	agree	disagree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	disagree	agree strongly	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	82	68.5	79.5	1	10	6	Not Selected	State	0	1	high
136	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	10	agree strongly	helemaal waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree	agree	agree strongly	agree	disagree	agree strongly	disagree strongly	disagree strongly	disagree	agree	disagree	agree	agree	agree strongly	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree strongly	disagree	agree	disagree	agree	76.2	68.7	71.4	1	10	6	Selected	State	0	1	high
131	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree	agree	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	76.3	69.3	74.4	1	10	6	Selected	State	0	1	high
125	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	agree strongly	agree strongly	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree	agree strongly	disagree strongly	agree strongly	89	69.8	80.7	1	14	7	Selected	State	0	1	high
122	girl	agree	disagree strongly	disagree strongly	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	8	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	disagree strongly	disagree	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree	disagree	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	agree	agree	disagree	disagree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	disagree	disagree strongly	disagree	71	70.5	72.6	1	10	6	Selected	State	0	1	high
128	girl	disagree	agree	disagree	agree	disagree	agree	agree	disagree strongly	disagree	disagree strongly	8	agree strongly	helemaal waar	agree	agree	disagree strongly	agree	disagree	agree	disagree strongly	agree	disagree strongly	disagree	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	disagree	agree	agree	disagree	agree	agree	disagree	agree	agree	disagree strongly	agree	agree	disagree	87.14	71.52	79.38	1	16	8	Selected	State	0	1	high
119	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree	agree	agree strongly	agree strongly	agree	disagree strongly	agree	agree strongly	disagree strongly	83.33	71.7	77.7	1	10	6	Selected	State	0	1	high
127	boy	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	0	disagree strongly	een beetje waar	agree	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree	disagree strongly	agree	agree	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree	disagree	disagree strongly	agree	agree strongly	agree strongly	agree	agree	agree strongly	agree strongly	agree	disagree strongly	disagree	agree strongly	disagree strongly	disagree	agree	agree strongly	disagree strongly	86.7	72	82.8	1	11	5	Not Selected	State	0	1	high
119	boy	disagree	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	disagree	agree	agree strongly	0	agree strongly	helemaal niet waar	agree strongly	agree	agree	agree strongly	agree	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree	agree	disagree	agree	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	agree	disagree	agree strongly	68	72	72	1	10	7	Not Selected	State	0	1	high
129	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	disagree	agree	disagree strongly	agree strongly	agree	agree	agree	agree strongly	disagree strongly	disagree	agree strongly	agree	agree	agree	agree	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	agree	agree	agree strongly	agree	agree	agree	agree	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	73	72	75.7	1	7	4	Selected	State	0	1	high
123	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree strongly	agree	agree strongly	disagree strongly	agree	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	75.1	72	68.5	1	15	5	Selected	Catholic	1	0	high
130	girl	disagree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree	disagree	agree strongly	disagree strongly	9	agree strongly	niet echt waar	agree	agree	agree strongly	agree	agree	disagree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree	disagree	agree	disagree strongly	disagree strongly	agree	agree		disagree	agree	agree	disagree	agree	disagree	agree strongly	disagree	agree	disagree	agree strongly	disagree	77.1	72.3	74	1	12	5	Selected	Catholic	1	0	high
129	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	agree	disagree	disagree strongly	agree	agree	disagree	disagree strongly	agree	disagree strongly	agree strongly	76.7	72.3	75.4	1	10	6	Selected	State	0	1	high
128	boy	disagree	agree	disagree	disagree strongly	agree	agree	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	een beetje waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	agree	agree	disagree	agree	agree	disagree	disagree strongly	disagree strongly	agree	agree	agree	agree	agree	agree	agree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	agree	73.5	73.1	76.1	0	10	6	Not Selected	State	0	1	high
126	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	agree strongly	disagree strongly	agree strongly	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree	agree	agree	agree	agree	agree strongly	agree	agree	agree strongly	agree	agree	83	73.1	81.5	1	14	7	Selected	State	0	1	high
118	girl	agree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	agree strongly	disagree	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree	disagree strongly	disagree	disagree	disagree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree	agree	disagree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree	disagree	agree	disagree	disagree	disagree strongly	agree	agree	agree	disagree strongly	disagree	agree	disagree	82.4	73.2	78.4	1	13	5	Selected	Catholic	1	0	high
131	girl	agree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree	disagree	agree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	disagree	agree strongly	78.25	73.37	75.81	1	14	9	Selected	State	0	1	high
